id,word,predicted_stem,predicted_pos,predicted_tags,predicted_sep_form,unrecognized
134,хабар,хабар,n,abs,хабар,0
134,хабар,хабар,verb,per,хабар,0
135,це,це,intj,,це,0
135,це,це,verb,imper,це,0
136,Ви,вун,prn,gen,ви,0
137,пайни,пай,n,add,пай-ни,0
138,за,зун,prn,erg,за,0
138,за,зун,prn,"in,essive",з-а,0
139,рикӀелай,рикӀ,n,"in,essive,be.on,pst",рикӀе-ла-й,0
139,рикӀелай,рикӀ,n,"in,essive,be.on,ptp",рикӀе-ла-й,0
139,рикӀелай,рикӀ,n,"super,elative",рикӀе-л-ай,0
140,алуддач,алуд,verb,"fut,neg",алуд-да-ч,0
141,рикӀяй,рикӀяй,adv,,рикӀяй,0
142,фикирна,фикир,verb,aor,фикир-на,0
142,фикирна,фикир,verb,aoc,фикир-на,0
143,керекулди,керекул,n,erg,керекул-ди,0
144,Амма,амма,conj,,амма,0
145,жанавурдиз,жанавур,n,dat,жанавурди-з,0
146,ада,а,prn,"sg,erg",ада,0
146,ада,а,prn,"sg,in,essive",ад-а,0
147,вич,вич,prn,,вич,0
148,и,и,prn,,и,0
149,икьрардал,икьрар,n,"super,essive",икьрарда-л,0
150,рази,рази,adj,,рази,0
151,тирди,тир,adj,"sg,abs",тир-ди,0
151,тирди,тир,n,erg,тир-ди,0
152,малумарна,малумар,verb,aoc,малумар-на,0
152,малумарна,малумар,verb,aor,малумар-на,0
153,АкӀ,акӀ,adv,,акӀ,0
154,хьайила,хьа,verb,"aor,ptp,temp",хьа-йи-ла,0
155,зун,зун,prn,,зун,0
156,хкведалди,хкве,verb,postr,хкве-далди,0
157,вун,вун,prn,,вун,0
158,санизни,,,,,1
159,фимир,фи,verb,prohib,фи-мир,0
160,гьа,гьа,part,,гьа,0
160,гьа,гьа,prn,,гьа,0
161,Керекул,керекул,n,abs,керекул,0
162,цавуз,,,,,1
163,хкаж,хкаж,verb,imper,хкаж,0
163,хкаж,хкаж,verb,per,хкаж,0
164,хьана,хьа,verb,aoc,хьа-на,0
164,хьана,хьа,verb,aor,хьа-на,0
164,хьана,хьана,intj,,хьана,0
165,хуьруьн,хуьруьн,adj,,хуьруьн,0
165,хуьруьн,хуьр,n,gen,хуьруь-н,0
166,уьруьшрилай,,,,,1
167,цӀар,цӀар,n,abs,цӀар,0
168,элкъуьрна,элкъуьр,verb,aor,элкъуьр-на,0
168,элкъуьрна,элкъуьр,verb,aoc,элкъуьр-на,0
169,хтана,хта,verb,aor,хта-на,0
169,хтана,хта,verb,aoc,хта-на,0
170,Фад,фад,adj,,фад,0
170,Фад,фад,adv,,фад,0
171,гьазур,гьазур,adj,,гьазур,0
171,гьазур,гьазур,verb,per,гьазур,0
172,хьухь,хьухь,n,abs,хьухь,0
172,хьухь,хьухь,verb,imper,хьухь,0
173,жанавур,жанавур,n,abs,жанавур,0
174,Жуван,жуван,adj,,жуван,0
174,Жуван,жув,prn,gen,жува-н,0
175,сарариз,,,,,1
176,къилав,къилав,n,abs,къилав,0
177,це,це,intj,,це,0
177,це,це,verb,imper,це,0
178,Заз,зун,prn,dat,за-з,0
179,касни,касни,prn,,касни,0
179,касни,кас,n,add,кас-ни,0
180,галачиз,гала,cop,"neg,cvb",гала-ч-из,0
181,чпин,чеб,prn,gen,чпи-н,0
182,ихтиярдалди,ихтияр,n,"super,directive",ихтиярда-л-ди,0
183,векь,,,,,1
184,незвай,не,verb,"imperf,ptp",не-зва-й,0
184,незвай,не,verb,"imperf,pst",не-зва-й,0
185,лапагар,лапаг,n,"pl,abs",лапаг-ар,0
186,акунва,аку,verb,prf,аку-нва,0
187,Абур,абур,n,abs,абур,0
187,Абур,а,prn,"pl,abs",абур,0
188,гьинал,,,,,1
189,ала,ала,adj,,ала,0
189,ала,ала,cop,imperf,ала,0
190,хвеши,хвеши,adj,,хвеши,0
191,хьана,хьа,verb,aoc,хьа-на,0
191,хьана,хьа,verb,aor,хьа-на,0
191,хьана,хьана,intj,,хьана,0
192,тадиз,тадиз,adv,,тадиз,0
193,хабар,хабар,n,abs,хабар,0
193,хабар,хабар,verb,per,хабар,0
194,кьуна,кьу,verb,aor,кьу-на,0
194,кьуна,кьу,verb,aoc,кьу-на,0
194,кьуна,кьун,n,"in,essive",кьу-на,0
194,кьуна,кьун,n,"erg",кьу-на,0
194,кьуна,кьуна,adv,,кьуна,0
195,жанавурди,жанавур,n,erg,жанавур-ди,0
196,За,зун,prn,erg,за,0
196,За,зун,prn,"in,essive",з-а,0
197,цавай,цав,n,"in,elative",цав-а-й,0
198,лув,лув,n,abs,лув,0
199,гуда,гуда,verb,imper,гуда,0
199,гуда,гу,verb,fut,гу-да,0
200,вун,вун,prn,,вун,0
201,зи,зун,prn,gen,зи,0
202,гьараюнин,гьараюн,n,gen,гьараюни-н,0
203,ванцелди,,,,,1
204,ша,ша,part,,ша,0
204,ша,ша,verb,imper,ша,0
205,Жанавур,жанавур,n,abs,жанавур,0
206,рази,рази,adj,,рази,0
207,хьана,хьа,verb,aor,хьа-на,0
207,хьана,хьа,verb,aoc,хьа-на,0
207,хьана,хьана,intj,,хьана,0
208,Керекулди,керекул,n,erg,керекул-ди,0
209,гьарайиз,гьарай,verb,inf,гьарай-из,0
210,гьарайиз,гьарай,verb,inf,гьарай-из,0
211,цавай,цав,n,"in,elative",цав-а-й,0
212,лув,лув,n,abs,лув,0
213,гана,га,verb,aor,га-на,0
213,гана,га,verb,aoc,га-на,0
214,Ахпа,ахпа,adv,,ахпа,0
214,Ахпа,ахпа,postp,,ахпа,0
215,лапагар,лапаг,n,"pl,abs",лапаг-ар,0
216,авай,ава,cop,ptp,ава-й,0
216,авай,ава,cop,pst,ава-й,0
216,авай,авай,adj,,авай,0
217,векьин,,,,,1
218,юкьвал,юкьвал,postp,,юкьвал,0
219,алай,ала,cop,ptp,ала-й,0
219,алай,ала,cop,pst,ала-й,0
219,алай,алай,adj,,алай,0
220,мегъуьн,,,,,1
221,тарцин,тар,n,gen,тарци-н,0
222,кукӀваз,,,,,1
223,хкаж,хкаж,verb,imper,хкаж,0
223,хкаж,хкаж,verb,per,хкаж,0
224,хьана,хьа,verb,aoc,хьа-на,0
224,хьана,хьа,verb,aor,хьа-на,0
224,хьана,хьана,intj,,хьана,0
225,ада,а,prn,"sg,erg",ада,0
225,ада,а,prn,"sg,in,essive",ад-а,0
226,гьанлай,,,,,1
227,гьарайиз,гьарай,verb,inf,гьарай-из,0
228,башламишна,башламиш,verb,aor,башламиш-на,0
228,башламишна,башламиш,verb,aoc,башламиш-на,0
229,Ада,а,prn,"sg,erg",ада,0
229,Ада,а,prn,"sg,in,essive",ад-а,0
230,тфенг,тфенг,n,abs,тфенг,0
231,къуьне,,,,,1
232,аваз,аваз,n,abs,аваз,0
232,аваз,ава,cop,cvb,ава-з,0
233,и,и,prn,,и,0
234,тарцин,тар,n,gen,тарци-н,0
235,кӀаник,кӀаник,adv,,кӀаник,0
235,кӀаник,кӀаник,postp,,кӀаник,0
235,кӀаник,кӀаник,verb,per,кӀаник,0
235,кӀаник,кӀан,n,"sub,essive",кӀани-к,0
236,акъвазнавай,акъваз,verb,"prf,pst",акъваз-нава-й,0
236,акъвазнавай,акъваз,verb,"prf,ptp",акъваз-нава-й,0
237,чубандин,чубан,n,gen,чубанди-н,0
238,фикир,фикир,n,abs,фикир,0
238,фикир,фикир,verb,per,фикир,0
239,вичел,,,,,1
240,желбзавай,желб,verb,"imperf,pst",желб-зава-й,0
240,желбзавай,желб,verb,"imperf,ptp",желб-зава-й,0
241,Керекулдин,керекул,n,gen,керекулди-н,0
242,сив,сив,n,abs,сив,0
243,акъваззавачир,акъваз,verb,"imperf,neg,pst",акъваз-зава-ч-ир,0
244,Ада,а,prn,"sg,erg",ада,0
244,Ада,а,prn,"sg,in,essive",ад-а,0
245,чубандиз,чубан,n,dat,чубанди-з,0
246,хаталувиликай,,,,,1
247,хабар,хабар,n,abs,хабар,0
247,хабар,хабар,verb,per,хабар,0
248,гузвай,гу,verb,"imperf,pst",гу-зва-й,0
248,гузвай,гу,verb,"imperf,ptp",гу-зва-й,0
249,Ина,ина,adv,,ина,0
250,вуч,вуч,prn,,вуч,0
251,аватӀани,,,,,1
252,са,са,num,,са,0
252,са,са,adj,,са,0
252,са,са,part,,са,0
253,кар,кар,n,abs,кар,0
253,кар,кар,verb,per,кар,0
254,ава,ава,cop,imperf,ава,0
255,Белки,белки,intj,,белки,0
256,адаз,а,prn,"sg,dat",ада-з,0
257,жанавур,жанавур,n,abs,жанавур,0
258,аквазватӀа,аква,verb,"imperf,cnd",аква-зва-тӀа,0
259,Чубанди,чубан,n,erg,чубан-ди,0
260,тадиз,тадиз,adv,,тадиз,0
261,вичин,вич,prn,gen,вичи-н,0
262,хъуьчӀе,,,,,1
263,авай,авай,adj,,авай,0
263,авай,авай,postp,,авай,0
263,авай,ава,cop,pst,ава-й,0
263,авай,ава,cop,ptp,ава-й,0
264,тфенг,тфенг,n,abs,тфенг,0
265,акъудна,акъуд,verb,aoc,акъуд-на,0
265,акъудна,акъуд,verb,aor,акъуд-на,0
266,гъилерал,гъил,n,"pl,super,essive",гъил-ера-л,0
267,вегьена,вегье,verb,aoc,вегье-на,0
267,вегьена,вегье,verb,aor,вегье-на,0
268,тарцин,тар,n,gen,тарци-н,0
269,далдадик,далда,n,"sub,essive",далдади-к,0
270,акъвазна,акъваз,verb,aoc,акъваз-на,0
270,акъвазна,акъваз,verb,aor,акъваз-на,0
271,тамун,тамун,adj,,тамун,0
271,тамун,там,n,gen,таму-н,0
272,къерех,къерех,n,abs,къерех,0
272,къерех,къерех,verb,per,къерех,0
273,гуьзетиз,гуьзет,verb,inf,гуьзет-из,0
274,башламишна,башламиш,verb,aoc,башламиш-на,0
274,башламишна,башламиш,verb,aor,башламиш-на,0
275,Керекулди,керекул,n,erg,керекул-ди,0
276,гьараюн,гьараюн,n,abs,гьараюн,0
277,давамарзавай,давамар,verb,"imperf,pst",давамар-зава-й,0
277,давамарзавай,давамар,verb,"imperf,ptp",давамар-зава-й,0
278,Ада,а,prn,"sg,erg",ада,0
278,Ада,а,prn,"sg,in,essive",ад-а,0
279,жанавурдиз,жанавур,n,dat,жанавурди-з,0
280,Фад,фад,adj,,фад,0
280,Фад,фад,adv,,фад,0
281,иниз,иниз,adv,,иниз,0
282,ша,ша,part,,ша,0
282,ша,ша,verb,imper,ша,0
283,фад,фад,adj,,фад,0
283,фад,фад,adv,,фад,0
284,иниз,иниз,adv,,иниз,0
285,ша,ша,part,,ша,0
285,ша,ша,verb,imper,ша,0
286,чубандизни,чубан,n,"dat,add",чубанди-з-ни,0
287,Мукъаят,мукъаят,adj,,мукъаят,0
287,Мукъаят,мукъаят,adv,,мукъаят,0
288,хьухь,хьухь,n,abs,хьухь,0
288,хьухь,хьухь,verb,imper,хьухь,0
289,мукъаят,мукъаят,adj,,мукъаят,0
289,мукъаят,мукъаят,adv,,мукъаят,0
290,хьухь,хьухь,n,abs,хьухь,0
290,хьухь,хьухь,verb,imper,хьухь,0
291,душман,душман,adj,,душман,0
291,душман,душман,n,abs,душман,0
292,къвезва,къве,verb,imperf,къве-зва,0
293,лугьузвай,лугьу,verb,"imperf,pst",лугьу-зва-й,0
293,лугьузвай,лугьу,verb,"imperf,ptp",лугьу-зва-й,0
294,Са,са,adj,,са,0
294,Са,са,num,,са,0
294,Са,са,part,,са,0
295,арадилай,,,,,1
296,жанавур,жанавур,n,abs,жанавур,0
297,атана,атана,part,,атана,0
297,атана,ата,verb,aoc,ата-на,0
297,атана,ата,verb,aor,ата-на,0
298,акъатна,акъатна,adv,,акъатна,0
298,акъатна,акъат,verb,aoc,акъат-на,0
298,акъатна,акъат,verb,aor,акъат-на,0
299,Сифте,сифте,adj,,сифте,0
299,Сифте,сифте,adv,,сифте,0
300,ам,а,prn,"sg,abs",ам,0
301,тамукай,там,n,"sub,elative",таму-к-ай,0
302,мукъаятвилелди,мукъаятвилелди,adv,,мукъаятвилелди,0
303,хипериз,,,,,1
304,килигна,килигна,postp,,килигна,0
304,килигна,килиг,verb,aoc,килиг-на,0
304,килигна,килиг,verb,aor,килиг-на,0
305,Вилериз,вилер,verb,inf,вилер-из,0
305,Вилериз,вил,n,"pl,dat",вил-ери-з,0
306,кас,кас,n,abs,кас,0
307,мас,мас,n,abs,мас,0
308,такурла,,,,,1
309,ада,а,prn,"sg,erg",ада,0
309,ада,а,prn,"sg,in,essive",ад-а,0
310,виликди,виликди,adv,,виликди,0
310,виликди,вилик,adj,"sg,abs",вилик-ди,0
310,виликди,вилик,verb,afut,вилик-ди,0
310,виликди,вил,n,"sub,directive",вили-к-ди,0
311,еримишна,еримиш,verb,aoc,еримиш-на,0
311,еримишна,еримиш,verb,aor,еримиш-на,0
312,Гьа,гьа,part,,гьа,0
312,Гьа,гьа,prn,,гьа,0
313,и,и,prn,,и,0
314,арада,арада,postp,,арада,0
314,арада,ара,n,"in,essive",арад-а,0
315,тарцик,тар,n,"sub,essive",тарци-к,0
316,чуьнуьх,чуьнуьх,verb,per,чуьнуьх,0
317,хьанвай,хьанвай,adj,,хьанвай,0
317,хьанвай,хьа,verb,"prf,pst",хьа-нва-й,0
317,хьанвай,хьа,verb,"prf,ptp",хьа-нва-й,0
318,чубандин,чубан,n,gen,чубанди-н,0
319,тфенгни,тфенг,n,add,тфенг-ни,0
320,акъатна,акъатна,adv,,акъатна,0
320,акъатна,акъат,verb,aoc,акъат-на,0
320,акъатна,акъат,verb,aor,акъат-на,0
321,Угъри,угъри,n,abs,угъри,0
322,жанавурдин,жанавур,n,gen,жанавурди-н,0
323,кьилел,кьилел,adv,,кьилел,0
323,кьилел,кьилел,postp,,кьилел,0
323,кьилел,кьил,n,"super,essive",кьиле-л,0
324,вуч,вуч,prn,,вуч,0
325,дуьшуьш,дуьшуьш,n,abs,дуьшуьш,0
326,атанатӀа,ата,verb,"aor,cnd",ата-на-тӀа,0
327,квез,куьн,prn,dat,кве-з,0
328,хъсандиз,хъсандиз,adv,,хъсандиз,0
329,акуна,акун,n,"in,essive",акун-а,0
329,акуна,аку,verb,aoc,аку-на,0
329,акуна,аку,verb,aor,аку-на,1
