id,word_x,pred_stem,pred_pos,pred_tags,pred_sep_form,unrecognized,word_y,stem,pos,tags,sep_form,check_stem,check_pos,check_tags,check_sep_form,check_all
41,Ахцегь,,,,,1,Ахцегь,ахцегь,n,abs,ахцегь,0.0,0.0,0.0,0.0,0.0
42,Кьурагь,кьурагь,adj,,кьурагь,0,Кьурагь,кьурагь,n,abs,кьурагь,1.0,0.0,0.0,1.0,0.0
43,Дербент,дербент,n,abs,дербент,0,Дербент,дербент,n,abs,дербент,1.0,1.0,1.0,1.0,1.0
44,Хив,гьи,prn,"ad, essive",хи-в,0,Хив,хив,n,abs,хив,0.0,0.0,0.0,0.0,0.0
45,Табасаран,,,,,1,Табасаран,табасаран,n,abs,табасаран,0.0,0.0,0.0,0.0,0.0
46,Къусар,,,,,1,Къусар,къусар,n,abs,къусар,0.0,0.0,0.0,0.0,0.0
47,Къуба,къуба,adj,,къуба,0,Къуба,къуба,n,abs,къуба,1.0,0.0,0.0,1.0,0.0
47,Къуба,къуба,n,abs,къуба,0,Къуба,къуба,n,abs,къуба,1.0,1.0,1.0,1.0,1.0
48,Хъачмас,,,,,1,Хъачмас,хъачмас,n,abs,хъачмас,0.0,0.0,0.0,0.0,0.0
49,Къуткъашен,,,,,1,Къуткъашен,къуткъашен,n,abs,къуткъашен,0.0,0.0,0.0,0.0,0.0
50,районрай,район,n,"elative, in, pl",район-р-а-й,0,районрай,район,n,"elative, in, pl",район-р-а-й,1.0,1.0,1.0,1.0,1.0
51,делегатар,делегат,n,"abs, pl",делегат-ар,0,делегатар,делегат,n,"abs, pl",делегат-ар,1.0,1.0,1.0,1.0,1.0
52,атанвай,ата,verb,"prf, pst",ата-нва-й,0,атанвай,ата,verb,"prf, pst",ата-нва-й,1.0,1.0,1.0,1.0,1.0
53,Залда,зал,n,"essive, in",залд-а,0,Залда,зал,n,"essive, in",залд-а,1.0,1.0,1.0,1.0,1.0
54,съезддин,съезд,n,gen,съездди-н,0,съезддин,съезд,n,gen,съездди-н,1.0,1.0,1.0,1.0,1.0
55,делегатарни,делегат,n,"abs, add, pl",делегат-ар-ни,0,делегатарни,делегат,n,"abs, add, pl",делегат-ар-ни,1.0,1.0,1.0,1.0,1.0
56,мугьманар,мугьманар,verb,per,мугьманар,0,мугьманар,мугьман,n,"abs, pl",мугьман-ар,0.0,0.0,0.0,0.0,0.0
56,мугьманар,мугьман,n,"abs, pl",мугьман-ар,0,мугьманар,мугьман,n,"abs, pl",мугьман-ар,1.0,1.0,1.0,1.0,1.0
57,касдилай,,,,,1,касдилай,кас,n,"elative, super",касди-л-ай,0.0,0.0,0.0,0.0,0.0
58,гзаф,гзаф,adv,,гзаф,0,гзаф,гзаф,adv,,гзаф,1.0,1.0,1.0,1.0,1.0
59,авай,ава,cop,pst,ава-й,0,авай,ава,cop,prf,ава-й,1.0,1.0,0.0,1.0,0.0
60,Садвал,,,,,1,Садвал,садвал,n,abs,садвал,0.0,0.0,0.0,0.0,0.0
61,гьерекатдин,гьерекат,n,gen,гьерекатди-н,0,гьерекатдин,гьерекат,n,gen,гьерекатди-н,1.0,1.0,1.0,1.0,1.0
62,съезд,съезд,n,abs,съезд,0,съезд,съезд,n,abs,съезд,1.0,1.0,1.0,1.0,1.0
63,Бакуда,баку,n,"essive, in",бакуд-а,0,Бакуда,баку,n,"essive, in",бакуд-а,1.0,1.0,1.0,1.0,1.0
64,цӀи,цӀи,adv,,цӀи,0,цӀи,цӀи,adv,,цӀи,1.0,1.0,1.0,1.0,1.0
65,ачухнавай,ачух,verb,"prf, ptp",ачух-нава-й,0,ачухнавай,ачух,verb,"prf, ptp",ачух-нава-й,1.0,1.0,1.0,1.0,1.0
66,Хважанжан,,,,,1,Хважанжан,хважанжан,n,abs,хважанжан,0.0,0.0,0.0,0.0,0.0
67,тӀвар,тӀвар,n,abs,тӀвар,0,тӀвар,тӀвар,n,abs,тӀвар,1.0,1.0,1.0,1.0,1.0
68,алай,ала,cop,ptp,ала-й,0,алай,ала,cop,ptp,ала-й,1.0,1.0,1.0,1.0,1.0
69,издательстводин,,,,,1,издательстводин,издательство,n,gen,издательстводи-н,0.0,0.0,0.0,0.0,0.0
70,редактор,редактор,n,abs,редактор,0,редактор,редактор,n,abs,редактор,1.0,1.0,1.0,1.0,1.0
71,шаир,шаир,n,abs,шаир,0,шаир,шаир,n,abs,шаир,1.0,1.0,1.0,1.0,1.0
72,Изет,,,,,1,Изет,изет,n,abs,изет,0.0,0.0,0.0,0.0,0.0
73,Шерифова,,,,,1,Шерифова,шерифов,n,erg,шерифов-а,0.0,0.0,0.0,0.0,0.0
74,ачухна,ачух,verb,aor,ачух-на,0,ачухна,ачух,verb,aor,ачух-на,1.0,1.0,1.0,1.0,1.0
75,Президиум,президиум,n,abs,президиум,0,Президиум,президиум,n,abs,президиум,1.0,1.0,1.0,1.0,1.0
76,хкягъайдалай,хкягъай,adj,"elative, sg, super",хкягъай-да-л-ай,0,хкягъайдалай,хкягъ,verb,"aor, elative, ptp, sg, super",хкягъ-ай-да-л-ай,0.0,0.0,0.0,0.0,0.0
76,хкягъайдалай,хкягъ,verb,"aor, elative, ptp, sg, super",хкягъ-ай-да-л-ай,0,хкягъайдалай,хкягъ,verb,"aor, elative, ptp, sg, super",хкягъ-ай-да-л-ай,1.0,1.0,1.0,1.0,1.0
77,гуьгъуьниз,гуьгъуьниз,adv,,гуьгъуьниз,0,гуьгъуьниз,гуьгъуьниз,post,,гуьгъуьниз,1.0,0.0,1.0,1.0,0.0
77,гуьгъуьниз,гуьгъуьниз,conj,,гуьгъуьниз,0,гуьгъуьниз,гуьгъуьниз,post,,гуьгъуьниз,1.0,0.0,1.0,1.0,0.0
77,гуьгъуьниз,гуьгъуьниз,post,,гуьгъуьниз,0,гуьгъуьниз,гуьгъуьниз,post,,гуьгъуьниз,1.0,1.0,1.0,1.0,1.0
78,доклад,доклад,n,abs,доклад,0,доклад,доклад,n,abs,доклад,1.0,1.0,1.0,1.0,1.0
79,авун,аву,verb,msd,аву-н,0,авун,аву,verb,msd,аву-н,1.0,1.0,1.0,1.0,1.0
80,патал,пад,n,"essive, super",пата-л,0,патал,патал,post,,патал,0.0,0.0,0.0,0.0,0.0
80,патал,патал,adj,,патал,0,патал,патал,post,,патал,1.0,0.0,1.0,1.0,0.0
80,патал,патал,adv,,патал,0,патал,патал,post,,патал,1.0,0.0,1.0,1.0,0.0
80,патал,патал,post,,патал,0,патал,патал,post,,патал,1.0,1.0,1.0,1.0,1.0
81,гаф,гаф,n,abs,гаф,0,гаф,гаф,n,abs,гаф,1.0,1.0,1.0,1.0,1.0
82,Дагпединститутдин,,,,,1,Дагпединститутдин,дагпединститут,n,gen,дагпединститутди-н,0.0,0.0,0.0,0.0,0.0
83,профессор,профессор,n,abs,профессор,0,профессор,профессор,n,abs,профессор,1.0,1.0,1.0,1.0,1.0
84,Абдурагьимоваз,,,,,1,Абдурагьимоваз,абдурагьимов,n,dat,абдурагьимова-з,0.0,0.0,0.0,0.0,0.0
85,гана,га,verb,aor,га-на,0,гана,га,verb,aor,га-на,1.0,1.0,1.0,1.0,1.0
86,Ада,а,prn,"erg, sg",ада,0,Ада,а,prn,"erg, sg",ада,1.0,1.0,1.0,1.0,1.0
86,Ада,а,prn,"essive, in, sg",ад-а,0,Ада,а,prn,"erg, sg",ада,1.0,1.0,0.0,0.0,0.0
87,авур,аву,verb,"aor, ptp",аву-р,0,авур,аву,verb,"aor, ptp",аву-р,1.0,1.0,1.0,1.0,1.0
88,Лезгистан,,,,,1,Лезгистан,лезгистан,n,abs,лезгистан,0.0,0.0,0.0,0.0,0.0
89,тарих,тарих,n,abs,тарих,0,тарих,тарих,n,abs,тарих,1.0,1.0,1.0,1.0,1.0
90,делилар,делил,n,"abs, pl",делил-ар,0,делилар,делил,n,"abs, pl",делил-ар,1.0,1.0,1.0,1.0,1.0
91,вакъиаяр,вакъиа,n,"abs, pl",вакъиа-яр,0,вакъиаяр,вакъиа,n,"abs, pl",вакъиа-яр,1.0,1.0,1.0,1.0,1.0
92,докладдихъ,доклад,n,"essive, post",докладди-хъ,0,докладдихъ,доклад,n,"essive, post",докладди-хъ,1.0,1.0,1.0,1.0,1.0
93,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,0,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,1.0,1.0,1.0,1.0,1.0
93,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,0,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,1.0,0.0,0.0,1.0,0.0
94,хьанвайбуру,хьанвай,adj,"erg, pl",хьанвай-буру,0,хьанвайбуру,хьа,verb,"erg, pl, prf, ptp",хьа-нва-й-буру,0.0,0.0,0.0,0.0,0.0
94,хьанвайбуру,хьа,verb,"erg, pl, prf, ptp",хьа-нва-й-буру,0,хьанвайбуру,хьа,verb,"erg, pl, prf, ptp",хьа-нва-й-буру,1.0,1.0,1.0,1.0,1.0
95,дикъетдивди,дикъетдивди,adv,,дикъетдивди,0,дикъетдивди,дикъет,n,"ad, directive",дикъетди-в-ди,0.0,0.0,0.0,0.0,0.0
95,дикъетдивди,дикъет,n,"ad, directive",дикъетди-в-ди,0,дикъетдивди,дикъет,n,"ad, directive",дикъетди-в-ди,1.0,1.0,1.0,1.0,1.0
96,яб,яб,n,abs,яб,0,яб,яб,n,abs,яб,1.0,1.0,1.0,1.0,1.0
97,акална,акал,verb,aor,акал-на,0,акална,акал,verb,aor,акал-на,1.0,1.0,1.0,1.0,1.0
98,Докладчиди,докладчи,n,erg,докладчи-ди,0,Докладчиди,докладчи,n,erg,докладчи-ди,1.0,1.0,1.0,1.0,1.0
99,тайин,тайин,adj,,тайин,0,тайин,тайин,adj,,тайин,1.0,1.0,1.0,1.0,1.0
99,тайин,тайин,adv,,тайин,0,тайин,тайин,adj,,тайин,1.0,0.0,1.0,1.0,0.0
99,тайин,тай,verb,hort,тай-ин,0,тайин,тайин,adj,,тайин,0.0,0.0,0.0,0.0,0.0
100,делилрал,делил,n,"essive, pl, super",делил-ра-л,0,делилрал,делил,n,"essive, pl, super",делил-ра-л,1.0,1.0,1.0,1.0,1.0
101,рекъемрал,рекъем,n,"essive, pl, super",рекъем-ра-л,0,рекъемрал,рекъем,n,"essive, pl, super",рекъем-ра-л,1.0,1.0,1.0,1.0,1.0
102,бинеламиш,бинеламиш,verb,per,бинеламиш,0,бинеламиш,бинеламиш,n,abs,бинеламиш,1.0,0.0,0.0,1.0,0.0
103,хьуналди,хьу,verb,"directive, msd, super",хьу-на-л-ди,0,хьуналди,хьу,verb,"directive, msd, super",хьу-н-ал-ди,1.0,1.0,1.0,0.0,0.0
104,дегьзаманрилай,,,,,1,дегьзаманрилай,дегьзаман,n,"elative, pl, super",дегьзаман-ри-л-ай,0.0,0.0,0.0,0.0,0.0
105,инихъ,инихъ,adv,,инихъ,0,инихъ,инихъ,post,,инихъ,1.0,0.0,1.0,1.0,0.0
106,лезги,лезги,adj,,лезги,0,лезги,лезги,adj,,лезги,1.0,1.0,1.0,1.0,1.0
106,лезги,лезги,n,abs,лезги,0,лезги,лезги,adj,,лезги,1.0,0.0,0.0,1.0,0.0
107,халкь,халкь,n,abs,халкь,0,халкь,халкь,n,abs,халкь,1.0,1.0,1.0,1.0,1.0
107,халкь,халкь,verb,per,халкь,0,халкь,халкь,n,abs,халкь,1.0,0.0,0.0,1.0,0.0
108,фейи,фейи,adj,,фейи,0,фейи,фе,verb,"aor, ptp",фе-йи,0.0,0.0,0.0,0.0,0.0
108,фейи,фе,verb,"aor, ptp",фе-йи,0,фейи,фе,verb,"aor, ptp",фе-йи,1.0,1.0,1.0,1.0,1.0
109,рекьел,рехъ,n,"essive, super",рекье-л,0,рекьел,рехъ,n,"essive, super",рекье-л,1.0,1.0,1.0,1.0,1.0
110,адан,а,prn,"gen, sg",ада-н,0,адан,а,prn,"gen, sg",ада-н,1.0,1.0,1.0,1.0,1.0
111,гьал,гьал,n,abs,гьал,0,гьал,гьал,n,abs,гьал,1.0,1.0,1.0,1.0,1.0
111,гьал,гьал,verb,imper,гьал,0,гьал,гьал,n,abs,гьал,1.0,0.0,0.0,1.0,0.0
111,гьал,гьал,verb,per,гьал,0,гьал,гьал,n,abs,гьал,1.0,0.0,0.0,1.0,0.0
112,агьвалдал,агьвал,n,"essive, super",агьвалда-л,0,агьвалдал,агьвал,n,"essive, super",агьвалда-л,1.0,1.0,1.0,1.0,1.0
113,яшайишдал,яшайиш,n,"essive, super",яшайишда-л,0,яшайишдал,яшайиш,n,"essive, super",яшайишда-л,1.0,1.0,1.0,1.0,1.0
114,культурадал,культура,n,"essive, super",культурада-л,0,культурадал,культура,n,"essive, super",культурада-л,1.0,1.0,1.0,1.0,1.0
115,экономикадал,экономика,n,"essive, super",экономикада-л,0,экономикадал,экономика,n,"essive, super",экономикада-л,1.0,1.0,1.0,1.0,1.0
116,тарихдал,тарих,n,"essive, super",тарихда-л,0,тарихдал,тарих,n,"essive, super",тарихда-л,1.0,1.0,1.0,1.0,1.0
117,искусстводал,,,,,1,искусстводал,искусство,n,"essive, super",искусствода-л,0.0,0.0,0.0,0.0,0.0
118,алай,ала,cop,ptp,ала-й,0,алай,ала,cop,ptp,ала-й,1.0,1.0,1.0,1.0,1.0
119,вахтунда,вахтунда,adv,,вахтунда,0,вахтунда,вахт,n,"essive, in",вахтунд-а,0.0,0.0,0.0,0.0,0.0
120,чеб,чеб,prn,,чеб,0,чеб,чеб,prn,,чеб,1.0,1.0,1.0,1.0,1.0
121,гьалун,гьал,verb,msd,гьал-ун,0,гьалун,гьал,verb,msd,гьал-ун,1.0,1.0,1.0,1.0,1.0
122,хцидаказ,хцидаказ,adv,,хцидаказ,0,хцидаказ,хцидаказ,adv,,хцидаказ,1.0,1.0,1.0,1.0,1.0
123,истемишзавай,истемиш,verb,"imperf, ptp",истемиш-зава-й,0,истемишзавай,истемиш,verb,"imperf, ptp",истемиш-зава-й,1.0,1.0,1.0,1.0,1.0
124,месэлайрал,месэла,n,"essive, pl, super",месэла-йра-л,0,месэлайрал,месэла,n,"essive, pl, super",месэла-йра-л,1.0,1.0,1.0,1.0,1.0
125,кӀватӀ,кӀватӀ,n,abs,кӀватӀ,0,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,1.0,0.0,0.0,1.0,0.0
125,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,0,кӀватӀ,кӀватӀ,verb,per,кӀватӀ,1.0,1.0,1.0,1.0,1.0
126,хьанвайбурун,хьанвай,adj,"gen, pl",хьанвай-буру-н,0,хьанвайбурун,хьа,verb,"gen, pl, prf, ptp",хьа-нва-й-буру-н,0.0,0.0,0.0,0.0,0.0
126,хьанвайбурун,хьа,verb,"gen, pl, prf, ptp",хьа-нва-й-буру-н,0,хьанвайбурун,хьа,verb,"gen, pl, prf, ptp",хьа-нва-й-буру-н,1.0,1.0,1.0,1.0,1.0
127,фикир,фикир,n,abs,фикир,0,фикир,фикир,n,abs,фикир,1.0,1.0,1.0,1.0,1.0
127,фикир,фикир,verb,per,фикир,0,фикир,фикир,n,abs,фикир,1.0,0.0,0.0,1.0,0.0
128,желбна,желб,verb,aor,желб-на,0,желбна,желб,verb,aor,желб-на,1.0,1.0,1.0,1.0,1.0
129,Советрин,советрин,adj,,советрин,0,Советрин,совет,n,"gen, pl",совет-ри-н,0.0,0.0,0.0,0.0,0.0
129,Советрин,совет,n,"gen, pl",совет-ри-н,0,Советрин,совет,n,"gen, pl",совет-ри-н,1.0,1.0,1.0,1.0,1.0
130,власть,власть,n,abs,власть,0,власть,власть,n,abs,власть,1.0,1.0,1.0,1.0,1.0
131,жедалди,же,verb,postr,же-далди,0,жедалди,же,verb,postr,же-далди,1.0,1.0,1.0,1.0,1.0
132,лагьана,лагьа,verb,aoc,лагьа-на,0,лагьана,лагьа,verb,aor,лагьа-на,1.0,1.0,0.0,1.0,0.0
133,ада,а,prn,"erg, sg",ада,0,ада,а,prn,"erg, sg",ада,1.0,1.0,1.0,1.0,1.0
133,ада,а,prn,"essive, in, sg",ад-а,0,ада,а,prn,"erg, sg",ада,1.0,1.0,0.0,0.0,0.0
134,чапхунчийрихъ,чапхунчи,n,"essive, pl, post",чапхунчи-йри-хъ,0,чапхунчийрихъ,чапхунчи,n,"essive, pl, post",чапхунчи-йри-хъ,1.0,1.0,1.0,1.0,1.0
135,галаз,галаз,post,,галаз,0,галаз,галаз,post,,галаз,1.0,1.0,1.0,1.0,1.0
135,галаз,гала,cop,cvb,гала-з,0,галаз,галаз,post,,галаз,0.0,0.0,0.0,0.0,0.0
136,кьиле,кьил,n,erg,кьил-е,0,кьиле,кьил,n,"essive, in",кьил-е,1.0,1.0,0.0,1.0,0.0
136,кьиле,кьил,n,"essive, in",кьил-е,0,кьиле,кьил,n,"essive, in",кьил-е,1.0,1.0,1.0,1.0,1.0
137,фейи,фейи,adj,,фейи,0,фейи,фе,verb,"aor, ptp",фе-йи,0.0,0.0,0.0,0.0,0.0
137,фейи,фе,verb,"aor, ptp",фе-йи,0,фейи,фе,verb,"aor, ptp",фе-йи,1.0,1.0,1.0,1.0,1.0
138,дявейри,дяве,n,"erg, pl",дяве-йри,0,дявейри,дяве,n,"erg, pl",дяве-йри,1.0,1.0,1.0,1.0,1.0
139,гзаф,гзаф,adv,,гзаф,0,гзаф,гзаф,adv,,гзаф,1.0,1.0,1.0,1.0,1.0
140,лезгияр,лезги,n,"abs, pl",лезги-яр,0,лезгияр,лезги,n,"abs, pl",лезги-яр,1.0,1.0,1.0,1.0,1.0
141,телеф,телеф,verb,per,телеф,0,телеф,телеф,verb,per,телеф,1.0,1.0,1.0,1.0,1.0
142,хьунал,хьу,verb,"essive, msd, super",хьу-на-л,0,хьунал,хьу,verb,"essive, msd, super",хьу-на-л,1.0,1.0,1.0,1.0,1.0
143,халкьдин,халкьдин,adj,,халкьдин,0,халкьдин,халкь,n,gen,халкьди-н,0.0,0.0,0.0,0.0,0.0
143,халкьдин,халкь,n,gen,халкьди-н,0,халкьдин,халкь,n,gen,халкьди-н,1.0,1.0,1.0,1.0,1.0
144,руьгьдин,руьгь,n,gen,руьгьди-н,0,руьгьдин,руьгь,n,gen,руьгьди-н,1.0,1.0,1.0,1.0,1.0
145,ва,ва,conj,,ва,0,ва,ва,conj,,ва,1.0,1.0,1.0,1.0,1.0
145,ва,вун,prn,"essive, in",в-а,0,ва,ва,conj,,ва,0.0,0.0,0.0,0.0,0.0
146,материальный,,,,,1,материальный,материальный,adj,,материальный,0.0,0.0,1.0,0.0,0.0
147,культура,культура,n,abs,культура,0,культура,культура,n,abs,культура,1.0,1.0,1.0,1.0,1.0
148,кӀватунал,кӀват,verb,"essive, msd, super",кӀват-уна-л,0,кӀватунал,кӀват,verb,"essive, msd, super",кӀват-уна-л,1.0,1.0,1.0,1.0,1.0
149,кхьинрин,кхьи,verb,"gen, msd, pl",кхьи-н-ри-н,0,кхьинрин,кхьи,verb,"gen, msd, pl",кхьи-н-ри-н,1.0,1.0,1.0,1.0,1.0
150,архитектурадин,,,,,1,архитектурадин,архитектура,n,gen,архитектуради-н,0.0,0.0,0.0,0.0,0.0
151,памятникар,памятник,n,"abs, pl",памятник-ар,0,памятникар,памятник,n,"abs, pl",памятник-ар,1.0,1.0,1.0,1.0,1.0
152,девлетар,девлет,n,"abs, pl",девлет-ар,0,девлетар,девлет,n,"abs, pl",девлет-ар,1.0,1.0,1.0,1.0,1.0
153,пуч,пуч,verb,per,пуч,0,пуч,пуч,verb,per,пуч,1.0,1.0,1.0,1.0,1.0
154,хьунал,хьу,verb,"essive, msd, super",хьу-на-л,0,хьунал,хьу,verb,"essive, msd, super",хьу-на-л,1.0,1.0,1.0,1.0,1.0
155,гъана,гъа,verb,aor,гъа-на,0,гъана,гъа,verb,aor,гъа-на,1.0,1.0,1.0,1.0,1.0
156,Ихьтин,ихьтин,adj,,ихьтин,0,Ихьтин,ихьтин,adv,,ихьтин,1.0,0.0,1.0,1.0,0.0
157,еке,еке,adj,,еке,0,еке,еке,adj,,еке,1.0,1.0,1.0,1.0,1.0
157,еке,еке,adv,,еке,0,еке,еке,adj,,еке,1.0,0.0,1.0,1.0,0.0
158,магьрумвилеризни,,,,,1,магьрумвилеризни,магьрумвил,n,"add, dat, pl",магьрумвил-ери-з-ни,0.0,0.0,0.0,0.0,0.0
159,килиг,килиг,part,,килиг,0,килиг,килиг,verb,per,килиг,1.0,0.0,0.0,1.0,0.0
159,килиг,килиг,verb,imper,килиг,0,килиг,килиг,verb,per,килиг,1.0,1.0,0.0,1.0,0.0
159,килиг,килиг,verb,per,килиг,0,килиг,килиг,verb,per,килиг,1.0,1.0,1.0,1.0,1.0
160,тавуна,тавуна,adv,,тавуна,0,тавуна,аву,verb,"aoc, neg",т-аву-на,0.0,0.0,0.0,0.0,0.0
160,тавуна,аву,verb,"aoc, neg",т-аву-на,0,тавуна,аву,verb,"aoc, neg",т-аву-на,1.0,1.0,1.0,1.0,1.0
160,тавуна,аву,verb,"essive, in, msd, neg",т-аву-н-а,0,тавуна,аву,verb,"aoc, neg",т-аву-на,1.0,1.0,0.0,0.0,0.0
